ID,Container_ID,Familiar_diet,Genetic_line,Treatment,Sex,Replicate,List,Body weight,bw,Head width,Scutum length,ow,ow_g,ag,ag_g,tw,tw_g,lg_bw,lg_ow,lg_tw,lg_ag,GSI,ag_gonad_ratio,Operator
SWS_CF2_17,SW_CF_2,CF,SW,CF,F,2,b,0.07233,72.33,55,73,22.11,0.02211,1.42,0.00142,,,1.859318465,1.344588743,,0.152288344,0.30568229,0.064224333,Y
SWS_CF2_11,SW_CF_2,CF,SW,CF,F,2,c,0.07843,78.43,55,72,25.98,0.02598,1.36,0.00136,,,1.894482215,1.414639147,,0.133538908,0.331250797,0.05234796,Y
SWS_CF2_34,SW_CF_2,CF,SW,CF,F,2,d,0.06214,62.14,53,69,7.83,0.00783,2.18,0.00218,,,1.793371249,0.893761762,,0.338456494,0.126005793,0.278416347,Y
SWS_CF2_39,SW_CF_2,CF,SW,CF,F,2,e,0.07353,73.53,54,74,23.63,0.02363,1.53,0.00153,,,1.866464566,1.373463722,,0.184691431,0.321365429,0.064748201,Y
SWS_CF2_35,SW_CF_2,CF,SW,CF,F,2,f,0.06928,69.28,56,72,9.14,0.00914,1.11,0.00111,,,1.840607879,0.960946196,,0.045322979,0.131928406,0.121444201,Y
SWS_CF2_14,SW_CF_2,CF,SW,CF,F,2,g,0.06548,65.48,55,71,14.47,0.01447,1.05,0.00105,,,1.816108671,1.160468531,,0.021189299,0.220983506,0.072563925,Y
SWS_CF2_12,SW_CF_2,CF,SW,CF,F,2,h,0.07989,79.89,56,73,28.89,0.02889,1.38,0.00138,,,1.902492421,1.460747542,,0.139879086,0.361622231,0.047767394,Y
SWS_CF2_37,SW_CF_2,CF,SW,CF,F,2,j,0.08324,83.24,55,73,11.08,0.01108,1.93,0.00193,,,1.920332072,1.04453976,,0.285557309,0.133109082,0.174187726,Y
SWS_CF2_15,SW_CF_2,CF,SW,CF,F,2,k,0.06186,61.86,52,71,10.42,0.01042,1.93,0.00193,,,1.791409916,1.017867719,,0.285557309,0.168444876,0.185220729,Y
SWS_CF1_15,SW_CF_1,CF,SW,CF,F,1,a,0.03744,37.44,51,68,5.02,0.00502,0.44,0.00044,,,1.57333584,0.700703717,,-0.356547324,0.134081197,0.087649402,Y
SWS_CF1_36,SW_CF_1,CF,SW,CF,F,1,b,0.06243,62.43,52,72,13.65,0.01365,0.88,0.00088,,,1.795393335,1.135132651,,-0.055517328,0.218644882,0.064468864,Y
SWS_CF1_24\,SW_CF_1,CF,SW,CF,F,1,c,0.06799,67.99,55,77,9.28,0.00928,1.42,0.00142,,,1.832445041,0.967547976,,0.152288344,0.13649066,0.153017241,Y
SWS_CF1_17,SW_CF_1,CF,SW,CF,F,1,d,0.05028,50.28,54,70,6.97,0.00697,0.31,0.00031,,,1.701395269,0.843232778,,-0.508638306,0.138623707,0.044476327,Y
SWS_CF1_08,SW_CF_1,CF,SW,CF,F,1,e,0.05927,59.27,53,67,8.78,0.00878,1.64,0.00164,,,1.772834927,0.943494516,,0.214843848,0.14813565,0.186788155,Y
SWS_CF1_14,SW_CF_1,CF,SW,CF,F,1,f,0.07126,71.26,53,72,10.81,0.01081,2.29,0.00229,,,1.852845818,1.033825694,,0.359835482,0.151698007,0.211840888,Y
SWS_CF1_05,SW_CF_1,CF,SW,CF,F,1,g,0.06039,60.39,56,74,17.76,0.01776,0.76,0.00076,,,1.78096503,1.249442961,,-0.119186408,0.294088425,0.042792793,Y
SWS_CF1_01,SW_CF_1,CF,SW,CF,F,1,h,0.06406,64.06,55,72,15.68,0.01568,1.09,0.00109,,,1.806586934,1.195346058,,0.037426498,0.244770528,0.069515306,Y
SWS_CF3_15,SW_CF_3,CF,SW,CF,F,3,a,0.08884,88.84,56,71,26.3,0.0263,0.98,0.00098,,,1.94860855,1.419955748,,-0.008773924,0.296037821,0.037262357,Y
SWS_CF3_23,SW_CF_3,CF,SW,CF,F,3,b,0.06535,65.35,55,68,10.5,0.0105,1.44,0.00144,,,1.815245592,1.021189299,,0.158362492,0.160673298,0.137142857,Y
SWS_CF3_22,SW_CF_3,CF,SW,CF,F,3,c,0.08568,85.68,58,76,25.02,0.02502,2.17,0.00217,,,1.932879458,1.398287305,,0.336459734,0.292016807,0.086730616,Y
SWS_CF3_40,SW_CF_3,CF,SW,CF,F,3,d,0.06728,67.28,53,72,9.12,0.00912,1.26,0.00126,,,1.827885983,0.959994838,,0.100370545,0.135552913,0.138157895,Y
SWS_CF3_14,SW_CF_3,CF,SW,CF,F,3,e,0.06333,63.33,54,72,,,1.3,0.0013,,,1.801609488,,,0.113943352,,,Y
SWS_CF3_11,SW_CF_3,CF,SW,CF,F,3,f,0.06575,65.75,54,73,12.78,0.01278,1.84,0.00184,,,1.817895757,1.106530854,,0.264817823,0.194372624,0.143974961,Y
SWS_CF3_13,SW_CF_3,CF,SW,CF,F,3,g,0.05756,57.56,55,71,3.44,0.00344,1.16,0.00116,,,1.760120785,0.536558443,,0.064457989,0.059763725,0.337209302,Y
SWS_CF3_01,SW_CF_3,CF,SW,CF,F,3,h,0.04737,47.37,55,73,6.38,0.00638,0.9,0.0009,,,1.675503385,0.804820679,,-0.045757491,0.134684399,0.141065831,Y
SWS_CF4_03,SW_CF_3,CF,SW,CF,F,3,a,0.06849,68.49,54,71,8.51,0.00851,1.4,0.0014,,,1.835627166,0.92992956,,0.146128036,0.124251716,0.164512338,Y
SWS_CF4_23,SW_CF_3,CF,SW,CF,F,3,b,0.07877,78.77,57,74,10.81,0.01081,2.38,0.00238,,,1.896360845,1.033825694,,0.376576957,0.137234988,0.220166512,Y
SWS_CF4_08,SW_CF_3,CF,SW,CF,F,3,c,0.07472,74.72,55,70,9.1,0.0091,2.27,0.00227,,,1.873436863,0.959041392,,0.356025857,0.121788009,0.249450549,Y
SWS_CF4_18,SW_CF_3,CF,SW,CF,F,3,d,0.05629,56.29,52,68,10.02,0.01002,1.25,0.00125,,,1.750431249,1.000867722,,0.096910013,0.178006751,0.124750499,Y
SWS_CF4_16,SW_CF_2,CF,SW,CF,F,2,e,0.06006,60.06,52,71,8.27,0.00827,1.71,0.00171,,,1.778585328,0.91750551,,0.23299611,0.137695638,0.206771463,Y
SWS_CF4_07,SW_CF_2,CF,SW,CF,F,2,f,0.05881,58.81,56,74,5.23,0.00523,1.39,0.00139,,,1.769451179,0.718501689,,0.1430148,0.088930454,0.265774379,Y
SWS_CF1_23,SW_CF_1,CF,SW,CF,M,1,a,0.04342,43.42,51,73,,,3.3,0.0033,1.79,0.00179,1.637689819,,0.252853031,0.51851394,0.041225242,1.843575419,Y
