ID,Container_ID,Sex,Genetic_line,Treatment,Familiar_diet,Replicate,Date of Eclosion,Date of Death,Group
C_FW2_12,C_FW_2,F,C,FW,FW,2,22/9/2023,,C_FW
C_FW2_13,C_FW_2,F,C,FW,FW,2,23/9/2023,,C_FW
C_FW2_14,C_FW_2,F,C,FW,FW,2,23/9/2023,,C_FW
C_FW2_15,C_FW_2,M,C,FW,FW,2,22/9/2023,,C_FW
C_FW2_16,C_FW_2,F,C,FW,FW,2,23/9/2023,,C_FW
C_FW2_17,C_FW_2,F,C,FW,FW,2,24/9/2023,2/10/2023,C_FW
C_FW2_18,C_FW_2,M,C,FW,FW,2,24/9/2023,2/10/2023,C_FW
C_FW2_19,C_FW_2,F,C,FW,FW,2,24/9/2023,2/10/2023,C_FW
C_FW2_20,C_FW_2,M,C,FW,FW,2,24/9/2023,2/10/2023,C_FW
C_FW2_21,C_FW_2,F,C,FW,FW,2,23/9/2023,,C_FW
C_FW2_22,C_FW_2,F,C,FW,FW,2,23/9/2023,,C_FW
C_FW2_23,C_FW_2,F,C,FW,FW,2,23/9/2023,,C_FW
C_FW2_24,C_FW_2,F,C,FW,FW,2,26/9/2023,2/10/2023,C_FW
C_FW2_25,C_FW_2,F,C,FW,FW,2,24/9/2023,3/10/2023,C_FW
C_FW2_26,C_FW_2,M,C,FW,FW,2,23/9/2023,,C_FW
C_FW2_27,C_FW_2,M,C,FW,FW,2,23/9/2023,,C_FW
C_FW2_28,C_FW_2,M,C,FW,FW,2,23/9/2023,,C_FW
C_FW2_29,C_FW_2,M,C,FW,FW,2,24/9/2023,2/10/2023,C_FW
C_FW2_30,C_FW_2,F,C,FW,FW,2,24/9/2023,4/10/2023,C_FW
C_FW2_31,C_FW_2,M,C,FW,FW,2,25/9/2023,1/10/2023,C_FW
C_FW2_32,C_FW_2,F,C,FW,FW,2,24/9/2023,6/10/2023,C_FW
C_FW2_33,C_FW_2,M,C,FW,FW,2,24/9/2023,14/10/2023,C_FW
C_FW2_34,C_FW_2,M,C,FW,FW,2,24/9/2023,12/10/2023,C_FW
C_FW2_35,C_FW_2,F,C,FW,FW,2,24/9/2023,2/10/2023,C_FW
C_FW2_36,C_FW_2,F,C,FW,FW,2,26/9/2023,7/10/2023,C_FW
C_FW2_37,C_FW_2,M,C,FW,FW,2,24/9/2023,5/10/2023,C_FW
C_FW2_38,C_FW_2,M,C,FW,FW,2,24/9/2023,14/10/2023,C_FW
C_FW2_39,C_FW_2,M,C,FW,FW,2,24/9/2023,8/10/2023,C_FW
C_FW2_40,C_FW_2,M,C,FW,FW,2,24/9/2023,3/10/2023,C_FW
C_FW2_41,C_FW_2,F,C,FW,FW,2,25/9/2023,5/10/2023,C_FW
C_FW2_42,C_FW_2,F,C,FW,FW,2,26/9/2023,6/10/2023,C_FW
C_FW2_43,C_FW_2,M,C,FW,FW,2,24/9/2023,10/10/2023,C_FW
C_FW2_44,C_FW_2,F,C,FW,FW,2,26/9/2023,4/10/2023,C_FW
C_FW2_45,C_FW_2,F,C,FW,FW,2,26/9/2023,5/10/2023,C_FW
C_FW2_46,C_FW_2,M,C,FW,FW,2,24/9/2023,11/10/2023,C_FW
C_FW2_47,C_FW_2,M,C,FW,FW,2,25/9/2023,18/10/2023,C_FW
C_FW2_48,C_FW_2,F,C,FW,FW,2,24/9/2023,6/10/2023,C_FW
C_FW2_49,C_FW_2,F,C,FW,FW,2,24/9/2023,3/10/2023,C_FW
C_FW2_50,C_FW_2,F,C,FW,FW,2,24/9/2023,8/10/2023,C_FW
C_FW2_51,C_FW_2,F,C,FW,FW,2,26/9/2023,5/10/2023,C_FW
C_FW2_52,C_FW_2,M,C,FW,FW,2,26/9/2023,8/10/2023,C_FW
C_FW2_53,C_FW_2,F,C,FW,FW,2,26/9/2023,5/10/2023,C_FW
C_FW2_54,C_FW_2,F,C,FW,FW,2,26/9/2023,4/10/2023,C_FW
C_FW2_55,C_FW_2,M,C,FW,FW,2,24/9/2023,8/10/2023,C_FW
C_FW2_56,C_FW_2,M,C,FW,FW,2,25/9/2023,8/10/2023,C_FW
C_FW2_57,C_FW_2,M,C,FW,FW,2,26/9/2023,14/10/2023,C_FW
C_FW2_58,C_FW_2,F,C,FW,FW,2,24/9/2023,5/10/2023,C_FW
C_FW2_59,C_FW_2,F,C,FW,FW,2,26/9/2023,4/10/2023,C_FW
C_FW2_60,C_FW_2,F,C,FW,FW,2,27/9/2023,7/10/2023,C_FW
C_FW2_61,C_FW_2,M,C,FW,FW,2,26/9/2023,16/10/2023,C_FW
C_FW2_62,C_FW_2,M,C,FW,FW,2,28/9/2023,5/10/2023,C_FW
C_FW2_63,C_FW_2,M,C,FW,FW,2,27/9/2023,7/10/2023,C_FW
C_FW2_64,C_FW_2,F,C,FW,FW,2,28/9/2023,6/10/2023,C_FW
C_FW2_65,C_FW_2,F,C,FW,FW,2,29/9/2023,6/10/2023,C_FW
C_FW2_66,C_FW_2,M,C,FW,FW,2,27/9/2023,4/10/2023,C_FW
C_FW2_67,C_FW_2,M,C,FW,FW,2,29/9/2023,,C_FW
C_FW2_68,C_FW_2,M,C,FW,FW,2,1/10/2023,17/10/2023,C_FW
C_FW2_69,C_FW_2,M,C,FW,FW,2,26/9/2023,5/10/2023,C_FW
C_FW2_70,C_FW_2,M,C,FW,FW,2,28/9/2023,13/10/2023,C_FW
C_FW2_71,C_FW_2,M,C,FW,FW,2,27/9/2023,22/10/2023,C_FW
C_FW2_72,C_FW_2,M,C,FW,FW,2,27/9/2023,9/10/2023,C_FW
C_FW2_73,C_FW_2,F,C,FW,FW,2,28/9/2023,9/10/2023,C_FW
C_FW2_74,C_FW_2,F,C,FW,FW,2,2/10/2023,15/10/2023,C_FW
C_FW2_75,C_FW_2,M,C,FW,FW,2,3/10/2023,7/10/2023,C_FW
C_FW2_76,C_FW_2,M,C,FW,FW,2,3/10/2023,13/10/2023,C_FW
C_FW2_77,C_FW_2,M,C,FW,FW,2,3/10/2023,22/10/2023,C_FW
C_FW2_78,C_FW_2,F,C,FW,FW,2,8/10/2023,15/10/2023,C_FW
C_FW2_79,C_FW_2,M,C,FW,FW,2,10/10/2023,25/10/2023,C_FW
C_FW2_80,C_FW_2,F,C,FW,FW,2,10/10/2023,20/10/2023,C_FW
C_FW2_81,C_FW_2,M,C,FW,FW,2,11/10/2023,20/10/2023,C_FW
C_FW2_82,C_FW_2,M,C,FW,FW,2,12/10/2023,24/10/2023,C_FW
C_FW2_83,C_FW_2,F,C,FW,FW,2,13/10/2023,25/10/2023,C_FW
C_FW2_84,C_FW_2,M,C,FW,FW,2,3/10/2023,12/10/2023,C_FW
C_FW2_85,C_FW_2,M,C,FW,FW,2,13/10/2023,25/10/2023,C_FW
C_FW2_86,C_FW_2,M,C,FW,FW,2,13/10/2023,13/10/2023,C_FW
C_FW2_87,C_FW_2,M,C,FW,FW,2,15/10/2023,27/10/2023,C_FW
C_FW3_01,C_FW_3,F,C,FW,FW,3,18/9/2023,,C_FW
C_FW3_02,C_FW_3,F,C,FW,FW,3,19/9/2023,,C_FW
C_FW3_03,C_FW_3,F,C,FW,FW,3,20/9/2023,,C_FW
C_FW3_04,C_FW_3,F,C,FW,FW,3,20/9/2023,,C_FW
C_FW3_05,C_FW_3,M,C,FW,FW,3,21/9/2023,,C_FW
C_FW3_06,C_FW_3,M,C,FW,FW,3,21/9/2023,25/9/2023,C_FW
C_FW3_07,C_FW_3,F,C,FW,FW,3,21/9/2023,,C_FW
C_FW3_08,C_FW_3,F,C,FW,FW,3,21/9/2023,,C_FW
C_FW3_09,C_FW_3,F,C,FW,FW,3,21/9/2023,,C_FW
C_FW3_10,C_FW_3,M,C,FW,FW,3,20/9/2023,,C_FW
C_FW3_11,C_FW_3,M,C,FW,FW,3,20/9/2023,,C_FW
C_FW3_12,C_FW_3,M,C,FW,FW,3,21/9/2023,,C_FW
C_FW3_13,C_FW_3,F,C,FW,FW,3,21/9/2023,,C_FW
C_FW3_14,C_FW_3,F,C,FW,FW,3,21/9/2023,,C_FW
C_FW3_15,C_FW_3,F,C,FW,FW,3,22/9/2023,,C_FW
C_FW3_16,C_FW_3,F,C,FW,FW,3,22/9/2023,,C_FW
C_FW3_17,C_FW_3,M,C,FW,FW,3,21/9/2023,,C_FW
C_FW3_18,C_FW_3,M,C,FW,FW,3,21/9/2023,,C_FW
C_FW3_19,C_FW_3,M,C,FW,FW,3,22/9/2023,,C_FW
C_FW3_20,C_FW_3,F,C,FW,FW,3,24/9/2023,6/10/2023,C_FW
C_FW3_21,C_FW_3,F,C,FW,FW,3,23/9/2023,2/10/2023,C_FW
C_FW3_22,C_FW_3,M,C,FW,FW,3,23/9/2023,,C_FW
C_FW3_23,C_FW_3,M,C,FW,FW,3,23/9/2023,,C_FW
C_FW3_24,C_FW_3,M,C,FW,FW,3,24/9/2023,3/10/2023,C_FW
C_FW3_25,C_FW_3,M,C,FW,FW,3,22/9/2023,,C_FW
C_FW3_26,C_FW_3,F,C,FW,FW,3,24/9/2023,6/10/2023,C_FW
C_FW3_27,C_FW_3,F,C,FW,FW,3,23/9/2023,6/10/2023,C_FW
C_FW3_28,C_FW_3,F,C,FW,FW,3,23/9/2023,2/10/2023,C_FW
C_FW3_29,C_FW_3,F,C,FW,FW,3,23/9/2023,2/10/2023,C_FW
C_FW3_30,C_FW_3,F,C,FW,FW,3,23/9/2023,3/10/2023,C_FW
C_FW3_31,C_FW_3,F,C,FW,FW,3,24/9/2023,5/10/2023,C_FW
C_FW3_32,C_FW_3,M,C,FW,FW,3,24/9/2023,5/10/2023,C_FW
C_FW3_33,C_FW_3,F,C,FW,FW,3,22/9/2023,1/10/2023,C_FW
C_FW3_34,C_FW_3,F,C,FW,FW,3,22/9/2023,1/10/2023,C_FW
C_FW3_35,C_FW_3,F,C,FW,FW,3,25/9/2023,9/10/2023,C_FW
C_FW3_36,C_FW_3,M,C,FW,FW,3,24/9/2023,6/10/2023,C_FW
C_FW3_37,C_FW_3,F,C,FW,FW,3,26/9/2023,,C_FW
C_FW3_38,C_FW_3,M,C,FW,FW,3,26/9/2023,5/10/2023,C_FW
C_FW3_39,C_FW_3,M,C,FW,FW,3,24/9/2023,13/10/2023,C_FW
C_FW3_40,C_FW_3,F,C,FW,FW,3,23/9/2023,2/10/2023,C_FW
C_FW3_41,C_FW_3,F,C,FW,FW,3,24/9/2023,3/10/2023,C_FW
C_FW3_42,C_FW_3,F,C,FW,FW,3,25/9/2023,,C_FW
C_FW3_43,C_FW_3,F,C,FW,FW,3,22/9/2023,1/10/2023,C_FW
C_FW3_44,C_FW_3,F,C,FW,FW,3,26/9/2023,6/10/2023,C_FW
C_FW3_45,C_FW_3,F,C,FW,FW,3,23/9/2023,5/10/2023,C_FW
C_FW3_46,C_FW_3,F,C,FW,FW,3,23/9/2023,3/10/2023,C_FW
C_FW3_47,C_FW_3,F,C,FW,FW,3,24/9/2023,3/10/2023,C_FW
C_FW3_48,C_FW_3,M,C,FW,FW,3,23/9/2023,,C_FW
C_FW3_49,C_FW_3,F,C,FW,FW,3,28/9/2023,5/10/2023,C_FW
C_FW3_50,C_FW_3,M,C,FW,FW,3,29/9/2023,9/10/2023,C_FW
C_FW3_51,C_FW_3,F,C,FW,FW,3,27/9/2023,12/10/2023,C_FW
C_FW3_52,C_FW_3,F,C,FW,FW,3,29/9/2023,4/10/2023,C_FW
C_FW3_53,C_FW_3,M,C,FW,FW,3,26/9/2023,6/10/2023,C_FW
C_FW3_54,C_FW_3,M,C,FW,FW,3,27/9/2023,8/10/2023,C_FW
C_FW3_55,C_FW_3,M,C,FW,FW,3,26/9/2023,8/10/2023,C_FW
C_FW3_56,C_FW_3,F,C,FW,FW,3,28/9/2023,6/10/2023,C_FW
C_FW3_57,C_FW_3,F,C,FW,FW,3,28/9/2023,9/10/2023,C_FW
C_FW3_58,C_FW_3,F,C,FW,FW,3,29/9/2023,7/10/2023,C_FW
C_FW3_59,C_FW_3,M,C,FW,FW,3,28/9/2023,5/10/2023,C_FW
C_FW3_60,C_FW_3,M,C,FW,FW,3,29/9/2023,5/10/2023,C_FW
C_FW3_61,C_FW_3,F,C,FW,FW,3,26/9/2023,6/10/2023,C_FW
C_FW3_62,C_FW_3,F,C,FW,FW,3,26/9/2023,3/10/2023,C_FW
C_FW3_63,C_FW_3,M,C,FW,FW,3,27/9/2023,16/10/2023,C_FW
C_FW3_64,C_FW_3,F,C,FW,FW,3,26/9/2023,5/10/2023,C_FW
C_FW3_65,C_FW_3,F,C,FW,FW,3,25/9/2023,2/10/2023,C_FW
C_FW3_66,C_FW_3,F,C,FW,FW,3,26/9/2023,2/10/2023,C_FW
C_FW3_67,C_FW_3,F,C,FW,FW,3,26/9/2023,5/10/2023,C_FW
C_FW3_68,C_FW_3,M,C,FW,FW,3,26/9/2023,8/10/2023,C_FW
C_FW3_69,C_FW_3,M,C,FW,FW,3,26/9/2023,5/10/2023,C_FW
C_FW3_70,C_FW_3,M,C,FW,FW,3,25/9/2023,6/10/2023,C_FW
C_FW3_71,C_FW_3,F,C,FW,FW,3,26/9/2023,3/10/2023,C_FW
C_FW3_72,C_FW_3,M,C,FW,FW,3,30/9/2023,13/10/2023,C_FW
C_FW3_73,C_FW_3,M,C,FW,FW,3,30/9/2023,12/10/2023,C_FW
C_FW3_74,C_FW_3,F,C,FW,FW,3,3/10/2023,13/10/2023,C_FW
C_FW3_75,C_FW_3,M,C,FW,FW,3,5/10/2023,22/10/2023,C_FW
C_FW3_76,C_FW_3,M,C,FW,FW,3,3/10/2023,14/10/2023,C_FW
C_FW3_77,C_FW_3,M,C,FW,FW,3,5/10/2023,16/10/2023,C_FW
C_FW3_78,C_FW_3,F,C,FW,FW,3,7/10/2023,15/10/2023,C_FW
C_FW3_79,C_FW_3,F,C,FW,FW,3,11/10/2023,20/10/2023,C_FW
C_FW3_80,C_FW_3,M,C,FW,FW,3,10/10/2023,13/10/2023,C_FW
C_FW3_81,C_FW_3,F,C,FW,FW,3,10/10/2023,24/10/2023,C_FW
C_FW3_82,C_FW_3,F,C,FW,FW,3,11/10/2023,22/10/2023,C_FW
C_FW3_83,C_FW_3,F,C,FW,FW,3,13/10/2023,22/10/2023,C_FW
C_FW3_84,C_FW_3,F,C,FW,FW,3,3/10/2023,12/10/2023,C_FW
C_FW3_85,C_FW_3,M,C,FW,FW,3,15/10/2023,25/10/2023,C_FW
C_FW3_86,C_FW_3,F,C,FW,FW,3,16/10/2023,24/10/2023,C_FW
E_FW1_01,E_FW_1,M,E,FW,FW,1,18/9/2023,,E_FW
E_FW1_02,E_FW_1,M,E,FW,FW,1,19/9/2023,,E_FW
E_FW1_03,E_FW_1,F,E,FW,FW,1,19/9/2023,,E_FW
E_FW1_04,E_FW_1,M,E,FW,FW,1,19/9/2023,,E_FW
E_FW1_05,E_FW_1,M,E,FW,FW,1,19/9/2023,,E_FW
E_FW1_06,E_FW_1,F,E,FW,FW,1,18/9/2023,,E_FW
E_FW1_07,E_FW_1,M,E,FW,FW,1,19/9/2023,,E_FW
E_FW1_08,E_FW_1,M,E,FW,FW,1,20/9/2023,,E_FW
E_FW1_09,E_FW_1,M,E,FW,FW,1,19/9/2023,,E_FW
E_FW1_10,E_FW_1,F,E,FW,FW,1,20/9/2023,,E_FW
E_FW1_11,E_FW_1,F,E,FW,FW,1,20/9/2023,,E_FW
E_FW1_12,E_FW_1,M,E,FW,FW,1,21/9/2023,5/10/2023,E_FW
E_FW1_13,E_FW_1,M,E,FW,FW,1,19/9/2023,,E_FW
E_FW1_14,E_FW_1,M,E,FW,FW,1,20/9/2023,,E_FW
E_FW1_15,E_FW_1,F,E,FW,FW,1,20/9/2023,,E_FW
E_FW1_16,E_FW_1,M,E,FW,FW,1,20/9/2023,,E_FW
E_FW1_17,E_FW_1,F,E,FW,FW,1,20/9/2023,,E_FW
E_FW1_18,E_FW_1,F,E,FW,FW,1,20/9/2023,,E_FW
E_FW1_19,E_FW_1,M,E,FW,FW,1,20/9/2023,,E_FW
E_FW1_20,E_FW_1,F,E,FW,FW,1,20/9/2023,,E_FW
E_FW1_21,E_FW_1,F,E,FW,FW,1,19/9/2023,,E_FW
E_FW1_22,E_FW_1,M,E,FW,FW,1,20/9/2023,28/9/2023,E_FW
E_FW1_23,E_FW_1,F,E,FW,FW,1,20/9/2023,,E_FW
E_FW1_24,E_FW_1,F,E,FW,FW,1,20/9/2023,,E_FW
E_FW1_25,E_FW_1,F,E,FW,FW,1,21/9/2023,4/10/2023,E_FW
E_FW1_26,E_FW_1,F,E,FW,FW,1,20/9/2023,,E_FW
E_FW1_27,E_FW_1,M,E,FW,FW,1,20/9/2023,28/9/2023,E_FW
E_FW1_28,E_FW_1,F,E,FW,FW,1,21/9/2023,2/10/2023,E_FW
E_FW1_29,E_FW_1,M,E,FW,FW,1,21/9/2023,4/10/2023,E_FW
E_FW1_30,E_FW_1,M,E,FW,FW,1,20/9/2023,,E_FW
E_FW1_31,E_FW_1,F,E,FW,FW,1,21/9/2023,1/10/2023,E_FW
E_FW1_32,E_FW_1,F,E,FW,FW,1,21/9/2023,2/10/2023,E_FW
E_FW1_33,E_FW_1,F,E,FW,FW,1,21/9/2023,2/10/2023,E_FW
E_FW1_34,E_FW_1,F,E,FW,FW,1,21/9/2023,1/10/2023,E_FW
E_FW1_35,E_FW_1,F,E,FW,FW,1,21/9/2023,4/10/2023,E_FW
E_FW1_36,E_FW_1,F,E,FW,FW,1,21/9/2023,2/10/2023,E_FW
E_FW1_37,E_FW_1,M,E,FW,FW,1,21/9/2023,5/10/2023,E_FW
E_FW1_38,E_FW_1,F,E,FW,FW,1,21/9/2023,4/10/2023,E_FW
E_FW1_39,E_FW_1,F,E,FW,FW,1,20/9/2023,1/10/2023,E_FW
E_FW1_40,E_FW_1,F,E,FW,FW,1,21/9/2023,2/10/2023,E_FW
E_FW1_41,E_FW_1,M,E,FW,FW,1,21/9/2023,8/10/2023,E_FW
E_FW1_42,E_FW_1,M,E,FW,FW,1,20/9/2023,1/10/2023,E_FW
E_FW1_43,E_FW_1,F,E,FW,FW,1,20/9/2023,1/10/2023,E_FW
E_FW1_44,E_FW_1,F,E,FW,FW,1,20/9/2023,1/10/2023,E_FW
E_FW1_46,E_FW_1,M,E,FW,FW,1,20/9/2023,1/10/2023,E_FW
E_FW1_47,E_FW_1,F,E,FW,FW,1,21/9/2023,29/9/2023,E_FW
E_FW1_48,E_FW_1,M,E,FW,FW,1,20/9/2023,29/9/2023,E_FW
E_FW1_49,E_FW_1,M,E,FW,FW,1,21/9/2023,2/10/2023,E_FW
E_FW1_50,E_FW_1,F,E,FW,FW,1,20/9/2023,2/10/2023,E_FW
E_FW1_51,E_FW_1,F,E,FW,FW,1,22/9/2023,6/10/2023,E_FW
E_FW1_52,E_FW_1,M,E,FW,FW,1,22/9/2023,2/10/2023,E_FW
E_FW1_53,E_FW_1,F,E,FW,FW,1,21/9/2023,2/10/2023,E_FW
E_FW1_54,E_FW_1,F,E,FW,FW,1,21/9/2023,1/10/2023,E_FW
E_FW1_55,E_FW_1,F,E,FW,FW,1,23/9/2023,3/10/2023,E_FW
E_FW1_56,E_FW_1,M,E,FW,FW,1,22/9/2023,1/10/2023,E_FW
E_FW1_57,E_FW_1,M,E,FW,FW,1,22/9/2023,2/10/2023,E_FW
E_FW1_58,E_FW_1,F,E,FW,FW,1,23/9/2023,3/10/2023,E_FW
E_FW1_59,E_FW_1,M,E,FW,FW,1,22/9/2023,2/10/2023,E_FW
E_FW1_60,E_FW_1,M,E,FW,FW,1,21/9/2023,6/10/2023,E_FW
E_FW1_61,E_FW_1,F,E,FW,FW,1,23/9/2023,3/10/2023,E_FW
E_FW1_62,E_FW_1,M,E,FW,FW,1,21/9/2023,5/10/2023,E_FW
E_FW1_63,E_FW_1,F,E,FW,FW,1,23/9/2023,2/10/2023,E_FW
E_FW1_65,E_FW_1,M,E,FW,FW,1,22/9/2023,3/10/2023,E_FW
E_FW1_66,E_FW_1,F,E,FW,FW,1,23/9/2023,2/10/2023,E_FW
E_FW1_67,E_FW_1,F,E,FW,FW,1,23/9/2023,3/10/2023,E_FW
E_FW1_68,E_FW_1,M,E,FW,FW,1,21/9/2023,6/10/2023,E_FW
E_FW1_69,E_FW_1,M,E,FW,FW,1,21/9/2023,4/10/2023,E_FW
E_FW1_70,E_FW_1,M,E,FW,FW,1,22/9/2023,5/10/2023,E_FW
E_FW1_71,E_FW_1,F,E,FW,FW,1,23/9/2023,5/10/2023,E_FW
E_FW1_72,E_FW_1,M,E,FW,FW,1,22/9/2023,5/10/2023,E_FW
E_FW1_73,E_FW_1,M,E,FW,FW,1,22/9/2023,9/10/2023,E_FW
E_FW1_74,E_FW_1,M,E,FW,FW,1,23/9/2023,4/10/2023,E_FW
E_FW1_75,E_FW_1,M,E,FW,FW,1,23/9/2023,4/10/2023,E_FW
E_FW1_76,E_FW_1,M,E,FW,FW,1,22/9/2023,7/10/2023,E_FW
E_FW1_77,E_FW_1,F,E,FW,FW,1,24/9/2023,4/10/2023,E_FW
E_FW1_78,E_FW_1,M,E,FW,FW,1,23/9/2023,11/10/2023,E_FW
E_FW1_79,E_FW_1,M,E,FW,FW,1,23/9/2023,2/10/2023,E_FW
E_FW1_80,E_FW_1,M,E,FW,FW,1,24/9/2023,7/10/2023,E_FW
E_FW1_81,E_FW_1,F,E,FW,FW,1,25/9/2023,8/10/2023,E_FW
E_FW1_82,E_FW_1,F,E,FW,FW,1,24/9/2023,8/10/2023,E_FW
E_FW1_83,E_FW_1,M,E,FW,FW,1,23/9/2023,7/10/2023,E_FW
E_FW1_84,E_FW_1,M,E,FW,FW,1,25/9/2023,5/10/2023,E_FW
E_FW1_85,E_FW_1,M,E,FW,FW,1,25/9/2023,7/10/2023,E_FW
E_FW1_86,E_FW_1,M,E,FW,FW,1,25/9/2023,6/10/2023,E_FW
E_FW1_87,E_FW_1,F,E,FW,FW,1,3/10/2023,14/10/2023,E_FW
E_FW1_88,E_FW_1,F,E,FW,FW,1,7/10/2023,19/10/2023,E_FW
E_FW1_89,E_FW_1,M,E,FW,FW,1,11/10/2023,19/10/2023,E_FW
E_FW1_90,E_FW_1,F,E,FW,FW,1,22/9/2023,1/10/2023,E_FW
E_FW2_01,E_FW_2,M,E,FW,FW,2,18/9/2023,,E_FW
E_FW2_02,E_FW_2,M,E,FW,FW,2,20/9/2023,,E_FW
E_FW2_03,E_FW_2,F,E,FW,FW,2,19/9/2023,,E_FW
E_FW2_04,E_FW_2,M,E,FW,FW,2,19/9/2023,,E_FW
E_FW2_05,E_FW_2,F,E,FW,FW,2,20/9/2023,,E_FW
E_FW2_06,E_FW_2,M,E,FW,FW,2,20/9/2023,,E_FW
E_FW2_07,E_FW_2,M,E,FW,FW,2,20/9/2023,,E_FW
E_FW2_08,E_FW_2,M,E,FW,FW,2,21/9/2023,,E_FW
E_FW2_09,E_FW_2,F,E,FW,FW,2,20/9/2023,,E_FW
E_FW2_10,E_FW_2,M,E,FW,FW,2,20/9/2023,25/9/2023,E_FW
E_FW2_11,E_FW_2,F,E,FW,FW,2,21/9/2023,1/10/2023,E_FW
E_FW2_12,E_FW_2,F,E,FW,FW,2,19/9/2023,,E_FW
E_FW2_13,E_FW_2,M,E,FW,FW,2,19/9/2023,,E_FW
E_FW2_14,E_FW_2,F,E,FW,FW,2,19/9/2023,,E_FW
E_FW2_15,E_FW_2,M,E,FW,FW,2,21/9/2023,3/10/2023,E_FW
E_FW2_16,E_FW_2,F,E,FW,FW,2,21/9/2023,,E_FW
E_FW2_17,E_FW_2,F,E,FW,FW,2,21/9/2023,1/10/2023,E_FW
E_FW2_18,E_FW_2,M,E,FW,FW,2,21/9/2023,6/10/2023,E_FW
E_FW2_19,E_FW_2,M,E,FW,FW,2,21/9/2023,2/10/2023,E_FW
E_FW2_20,E_FW_2,F,E,FW,FW,2,20/9/2023,25/9/2023,E_FW
E_FW2_21,E_FW_2,M,E,FW,FW,2,20/9/2023,,E_FW
E_FW2_22,E_FW_2,F,E,FW,FW,2,20/9/2023,,E_FW
E_FW2_23,E_FW_2,M,E,FW,FW,2,21/9/2023,2/10/2023,E_FW
E_FW2_24,E_FW_2,M,E,FW,FW,2,21/9/2023,2/10/2023,E_FW
E_FW2_25,E_FW_2,F,E,FW,FW,2,21/9/2023,,E_FW
E_FW2_26,E_FW_2,M,E,FW,FW,2,20/9/2023,,E_FW
E_FW2_27,E_FW_2,M,E,FW,FW,2,21/9/2023,4/10/2023,E_FW
E_FW2_28,E_FW_2,F,E,FW,FW,2,21/9/2023,,E_FW
E_FW2_29,E_FW_2,M,E,FW,FW,2,20/9/2023,,E_FW
E_FW2_30,E_FW_2,M,E,FW,FW,2,20/9/2023,,E_FW
E_FW2_31,E_FW_2,F,E,FW,FW,2,20/9/2023,,E_FW
E_FW2_32,E_FW_2,F,E,FW,FW,2,20/9/2023,,E_FW
E_FW2_33,E_FW_2,M,E,FW,FW,2,21/9/2023,5/10/2023,E_FW
E_FW2_34,E_FW_2,M,E,FW,FW,2,21/9/2023,9/10/2023,E_FW
E_FW2_35,E_FW_2,M,E,FW,FW,2,21/9/2023,4/10/2023,E_FW
E_FW2_36,E_FW_2,M,E,FW,FW,2,21/9/2023,11/10/2023,E_FW
E_FW2_37,E_FW_2,F,E,FW,FW,2,22/9/2023,3/10/2023,E_FW
E_FW2_38,E_FW_2,M,E,FW,FW,2,22/9/2023,11/10/2023,E_FW
E_FW2_39,E_FW_2,F,E,FW,FW,2,21/9/2023,2/10/2023,E_FW
E_FW2_40,E_FW_2,M,E,FW,FW,2,22/9/2023,4/10/2023,E_FW
E_FW2_41,E_FW_2,M,E,FW,FW,2,22/9/2023,5/10/2023,E_FW
E_FW2_42,E_FW_2,F,E,FW,FW,2,21/9/2023,2/10/2023,E_FW
E_FW2_43,E_FW_2,M,E,FW,FW,2,21/9/2023,4/10/2023,E_FW
E_FW2_44,E_FW_2,M,E,FW,FW,2,22/9/2023,11/10/2023,E_FW
E_FW2_45,E_FW_2,M,E,FW,FW,2,21/9/2023,11/10/2023,E_FW
E_FW2_46,E_FW_2,M,E,FW,FW,2,22/9/2023,4/10/2023,E_FW
E_FW2_47,E_FW_2,F,E,FW,FW,2,21/9/2023,,E_FW
E_FW2_48,E_FW_2,M,E,FW,FW,2,21/9/2023,11/10/2023,E_FW
E_FW2_49,E_FW_2,F,E,FW,FW,2,24/9/2023,6/10/2023,E_FW
E_FW2_50,E_FW_2,F,E,FW,FW,2,22/9/2023,2/10/2023,E_FW
E_FW2_51,E_FW_2,F,E,FW,FW,2,23/9/2023,2/10/2023,E_FW
E_FW2_52,E_FW_2,M,E,FW,FW,2,23/9/2023,8/10/2023,E_FW
E_FW2_53,E_FW_2,F,E,FW,FW,2,23/9/2023,4/10/2023,E_FW
E_FW2_54,E_FW_2,M,E,FW,FW,2,23/9/2023,6/10/2023,E_FW
E_FW2_55,E_FW_2,M,E,FW,FW,2,23/9/2023,3/10/2023,E_FW
E_FW2_56,E_FW_2,M,E,FW,FW,2,23/9/2023,9/10/2023,E_FW
E_FW2_57,E_FW_2,M,E,FW,FW,2,22/9/2023,9/10/2023,E_FW
E_FW2_58,E_FW_2,M,E,FW,FW,2,23/9/2023,12/10/2023,E_FW
E_FW2_59,E_FW_2,F,E,FW,FW,2,22/9/2023,7/10/2023,E_FW
E_FW2_60,E_FW_2,F,E,FW,FW,2,23/9/2023,2/10/2023,E_FW
E_FW2_61,E_FW_2,M,E,FW,FW,2,21/9/2023,15/10/2023,E_FW
E_FW2_62,E_FW_2,F,E,FW,FW,2,23/9/2023,2/10/2023,E_FW
E_FW2_63,E_FW_2,M,E,FW,FW,2,23/9/2023,2/10/2023,E_FW
